SMILES,Rank,CAS Number
NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(=[NH2+])[NH3+])cc4[nH]3)[nH]c2c1,1,74733-75-8
O=S(=O)([O-])c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2c1,2,86-66-8
Nc1nccc(-c2ccc(O)c(-c3ccnc(N)n3)n2)n1,3,19898-41-0
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,4,526-08-9
Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,5,3811-56-1
c1ccc2c(c1)CCC[C@H]2Nc1nc2ccccc2[nH]1,6,875755-39-8
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,7,845674-84-2
NC(=[NH2+])c1cc2cc(-c3cccc(-c4ccccc4)c3O)[nH]c2cc1Cl,8,277312-21-7
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,ref_Pemetrexed,137281-23-3
NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)cc2c1,10,179748-10-8
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,11,1608125-21-8
N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,12,536-71-0
O=S(=O)(O)c1ccc2cc(S(=O)(=O)O)ccc2c1,13,581-75-9
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,14,191732-72-6
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,15,31431-39-7
C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,16,1693758-51-8
NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CN)C(=O)O,17,49557-75-7
COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,18,786701-13-1
Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,19,442908-10-3
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,20,59-40-5
Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,21,1415379-56-4
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,22,50264-69-2
Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)CC1CN2,23,3432-99-3
CN(C)c1cccc2c(S(N)(=O)=O)cccc12,24,1431-39-6
Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,25,1446113-23-0
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,26,500-92-5
Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,27,1352608-82-2
Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)n[nH]1,28,404828-08-6
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,29,59-05-2
O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,30,85753-43-1
